Genre,Rank,RatingTomatometer,Title,No. of Reviews
Terror,23.0,100%,Host (2020),93
Terror,24.0,95%,Pan's Labyrinth (2006),239
Terror,26.0,95%,Repulsion (1965),65
Terror,30.0,95%,Don't Look Now (1973),76
Terror,33.0,98%,The Friends of Eddie Coyle (1973),40
Terror,35.0,95%,The Birds (1963),57
Terror,37.0,98%,The Vanishing (Spoorloos) (1988),49
Terror,39.0,96%,A Girl Walks Home Alone at Night (2014),135
Terror,41.0,95%,House of Wax (1953),44
Terror,43.0,95%,The Fly (1958),41
Terror,46.0,95%,Nosferatu: Phantom der Nacht (Nosferatu the Vampyre) (1979),60
Terror,47.0,95%,Evil Dead 2: Dead by Dawn (1987),63
Terror,48.0,95%,The Evil Dead (1981),63
Terror,49.0,96%,La Llorona (2020),95
Terror,50.0,98%,The Loved Ones (2012),57
Terror,53.0,97%,Spontaneous (2020),64
Terror,54.0,98%,My Heart Can't Beat Unless You Tell It To (2021),49
Terror,55.0,95%,A Nightmare on Elm Street (1984),55
Terror,56.0,97%,The Boy Behind the Door (2020),62
Terror,59.0,95%,The Love Witch (2016),113
Terror,60.0,97%,Harpoon (2019),61
Terror,62.0,98%,Werckmeister Harmonies (2001),41
Terror,65.0,96%,The Amusement Park (2019),72
Terror,75.0,95%,The Mortuary Collection (2019),66
Terror,83.0,95%,We Are Still Here (2015),44
Terror,87.0,95%,The Old Ways (2021),42
Infantil & Família,1.0,98%,The Wizard of Oz (1939),160
Infantil & Família,2.0,97%,Toy Story 4 (2019),453
Infantil & Família,3.0,97%,Spider-Man: Into the Spider-Verse (2018),393
Infantil & Família,4.0,98%,Inside Out (2015),379
Infantil & Família,5.0,97%,Coco (2017),354
Infantil & Família,6.0,99%,E.T. The Extra-Terrestrial (1982),136
Infantil & Família,7.0,98%,Snow White and the Seven Dwarfs (1937),54
Infantil & Família,8.0,95%,Soul (2020),344
Infantil & Família,10.0,99%,Paddington 2 (2018),247
Infantil & Família,11.0,98%,Up (2009),298
Infantil & Família,12.0,98%,Toy Story 3 (2010),309
Infantil & Família,13.0,100%,Toy Story 2 (1999),170
Infantil & Família,14.0,99%,Finding Nemo (2003),269
Infantil & Família,15.0,100%,Pinocchio (1940),56
Infantil & Família,17.0,96%,Harry Potter and the Deathly Hallows - Part 2 (2011),332
Infantil & Família,19.0,96%,The LEGO Movie (2014),253
Infantil & Família,20.0,95%,Moana (2016),283
Infantil & Família,21.0,100%,Toy Story (1995),92
Infantil & Família,22.0,99%,How to Train Your Dragon (2010),212
Infantil & Família,23.0,96%,Ratatouille (2007),251
Infantil & Família,24.0,98%,Dumbo (1941),43
Infantil & Família,25.0,98%,The Princess Bride (1987),80
Infantil & Família,26.0,97%,The Incredibles (2004),249
Infantil & Família,27.0,99%,My Life as a Zucchini (Ma vie de courgette) (2017),137
Infantil & Família,28.0,96%,Miracle on 34th Street (1947),48
Infantil & Família,30.0,97%,Chicken Run (2000),173
Infantil & Família,31.0,98%,101 Dalmatians (1961),52
Infantil & Família,33.0,95%,The Nightmare Before Christmas (1993),100
Infantil & Família,34.0,97%,Paddington (2015),164
Infantil & Família,36.0,96%,"Monsters, Inc. (2001)",199
Infantil & Família,37.0,97%,Big (1988),76
Infantil & Família,38.0,97%,Spirited Away (2002),195
Infantil & Família,39.0,95%,The Muppets (2011),231
Infantil & Família,41.0,99%,Song Of The Sea (2014),97
Infantil & Família,42.0,96%,The Iron Giant (1999),142
Infantil & Família,43.0,95%,Fantasia (1940),56
Infantil & Família,44.0,97%,Who Framed Roger Rabbit (1988),67
Infantil & Família,46.0,97%,Babe (1995),70
Infantil & Família,47.0,95%,Wallace & Gromit: The Curse of the Were-Rabbit (2005),184
Infantil & Família,49.0,95%,Yellow Submarine (1968),60
Infantil & Família,50.0,96%,Mary Poppins (1964),55
Infantil & Família,51.0,95%,My Fair Lady (1964),62
Infantil & Família,52.0,98%,Kiki's Delivery Service (1989),42
Infantil & Família,53.0,95%,Aladdin (1992),75
Infantil & Família,58.0,95%,The Straight Story (1999),105
Infantil & Família,61.0,95%,The Breadwinner (2017),105
Infantil & Família,64.0,96%,The Secret of Roan Inish (1995),45
Música e Arte,1.0,98%,The Wizard of Oz (1939),160
Música e Arte,2.0,97%,A Night at the Opera (1935),70
Música e Arte,3.0,100%,Singin' in the Rain (1952),67
Música e Arte,4.0,96%,An American in Paris (1951),94
Música e Arte,6.0,98%,A Hard Day's Night (1964),112
Música e Arte,7.0,97%,Sound of Metal (2020),275
Música e Arte,8.0,100%,Top Hat (1935),42
Música e Arte,9.0,100%,Pinocchio (1940),56
Música e Arte,10.0,97%,The Red Shoes (1948),62
Música e Arte,11.0,99%,The Umbrellas of Cherbourg (Les Parapluies de Cherbourg) (1964),67
Música e Arte,12.0,99%,Amazing Grace (2019),160
Música e Arte,14.0,97%,Hamilton (2020),199
Música e Arte,15.0,98%,Gentlemen Prefer Blondes (1953),45
Música e Arte,16.0,99%,20 Feet From Stardom (2013),128
Música e Arte,17.0,95%,Amy (2015),225
Música e Arte,18.0,98%,David Byrne's American Utopia (2020),135
Música e Arte,19.0,95%,Sing Street (2016),214
Música e Arte,21.0,96%,The Blue Angel (Der Blaue Engel) (1930),45
Música e Arte,22.0,95%,Stormy Weather (1943),41
Música e Arte,23.0,98%,The Last Waltz (1978),50
Música e Arte,24.0,100%,Stop Making Sense (1984),40
Música e Arte,25.0,100%,The Decline of Ocidental Civilization (1981),40
Música e Arte,27.0,98%,Anvil! The Story of Anvil (2009),140
Música e Arte,28.0,98%,The Young Girls of Rochefort (Les Demoiselles de Rochefort) (1968),44
Música e Arte,29.0,97%,Once (2007),159
Música e Arte,30.0,98%,A Star Is Born (1954),42
Música e Arte,31.0,95%,Fantasia (1940),56
Música e Arte,32.0,100%,Waste Land (2010),71
Música e Arte,34.0,100%,Afghan Star (2009),62
Música e Arte,35.0,97%,What's Love Got To Do With It? (1993),58
Música e Arte,36.0,96%,We Are the Best! (2014),138
Música e Arte,37.0,95%,Yellow Submarine (1968),60
Música e Arte,38.0,96%,Mary Poppins (1964),55
Música e Arte,39.0,100%,Sound City (2013),46
Música e Arte,41.0,95%,My Fair Lady (1964),62
Música e Arte,42.0,100%,Everyday Sunshine: The Story of Fishbone (2011),47
Música e Arte,43.0,99%,Bill Cunningham New York (2011),74
Música e Arte,44.0,98%,Hairspray (1988),42
Música e Arte,45.0,95%,Aladdin (1992),75
Música e Arte,46.0,99%,Rivers and Tides: Andy Goldsworthy Working With Time (2002),71
Música e Arte,47.0,97%,Muscle Shoals (2013),87
Música e Arte,48.0,95%,Searching for Sugar Man (2012),133
Música e Arte,49.0,98%,Homecoming: A Film by Beyoncé (2019),56
Música e Arte,50.0,98%,Beware Of Mr. Baker (2012),53
Música e Arte,51.0,96%,Exit Through The Gift Shop (2010),115
Música e Arte,52.0,98%,Keep On Keepin' On (2014),43
Música e Arte,53.0,95%,Marley (2012),114
Música e Arte,55.0,98%,"Du Levande (You, The Living) (2007)",42
Música e Arte,56.0,96%,The Full Monty (1997),50
Música e Arte,57.0,97%,49 Up (2006),65
Música e Arte,63.0,96%,Les Plages d'Agnès (The Beaches of Agnes) (2008),72
Música e Arte,64.0,95%,"20,000 Days on Earth (2014)",88
Música e Arte,66.0,95%,Pina (2011),106
Música e Arte,67.0,96%,Festival Express (2003),80
Música e Arte,68.0,95%,Born Into Brothels (2004),108
Música e Arte,71.0,95%,Crumb (1995),42
Música e Arte,72.0,95%,The Wrecking Crew (2015),74
Música e Arte,73.0,96%,Marina Abramovic: The Artist Is Present (2012),47
Música e Arte,77.0,96%,Los Angeles Plays Itself (2003),45
Música e Arte,80.0,95%,Lagaan: Once Upon a Time in India (2001),61
Música e Arte,82.0,95%,End of the Century: The Story of the Ramones (2004),62
Música e Arte,87.0,95%,Sing Your Song (2012),40
Música e Arte,88.0,95%,The Filth and the Fury (2000),40
Mistério e Suspense,1.0,99%,Citizen Kane (1941),121
Mistério e Suspense,2.0,97%,Knives Out (2019),468
Mistério e Suspense,4.0,97%,Mission: Impossible - Fallout (2018),437
Mistério e Suspense,5.0,98%,Get Out (2017),398
Mistério e Suspense,6.0,95%,The Irishman (2019),456
Mistério e Suspense,7.0,99%,The Cabinet of Dr. Caligari (Das Cabinet des Dr. Caligari) (1920),68
Mistério e Suspense,8.0,96%,A Quiet Place (2018),387
Mistério e Suspense,9.0,100%,Rebecca (1940),95
Mistério e Suspense,10.0,97%,Spotlight (2015),376
Mistério e Suspense,11.0,99%,The Third Man (1949),86
Mistério e Suspense,12.0,98%,Rear Window (1954),122
Mistério e Suspense,14.0,100%,The Maltese Falcon (1941),64
Mistério e Suspense,16.0,96%,Argo (2012),360
Mistério e Suspense,17.0,97%,North by Northwest (1959),109
Mistério e Suspense,18.0,100%,Laura (1944),65
Mistério e Suspense,19.0,98%,Alien (1979),127
Mistério e Suspense,20.0,100%,Shadow of a Doubt (1943),49
Mistério e Suspense,21.0,96%,Psycho (1960),105
Mistério e Suspense,22.0,99%,L.A. Confidential (1997),161
Mistério e Suspense,23.0,96%,"The Godfather, Part II (1974)",114
Mistério e Suspense,24.0,100%,M (1931),60
Mistério e Suspense,25.0,97%,Hell or High Water (2016),286
Mistério e Suspense,26.0,98%,Jaws (1975),95
Mistério e Suspense,28.0,98%,The Babadook (2014),242
Mistério e Suspense,29.0,99%,Chinatown (1974),76
Mistério e Suspense,30.0,98%,The Lady Vanishes (1938),45
Mistério e Suspense,32.0,96%,The 39 Steps (1935),53
Mistério e Suspense,33.0,96%,Harry Potter and the Deathly Hallows - Part 2 (2011),332
Mistério e Suspense,34.0,98%,The Thin Man (1934),43
Mistério e Suspense,35.0,95%,Touch of Evil (1958),79
Mistério e Suspense,36.0,98%,Rashômon (1951),56
Mistério e Suspense,37.0,96%,Taxi Driver (1976),94
Mistério e Suspense,39.0,95%,Nightcrawler (2014),275
Mistério e Suspense,40.0,100%,The Wages of Fear (1953),45
Mistério e Suspense,41.0,98%,Strangers on a Train (1951),52
Mistério e Suspense,43.0,97%,The Big Sleep (1946),65
Mistério e Suspense,44.0,99%,Goldfinger (1964),69
Mistério e Suspense,45.0,100%,Anatomy of a Murder (1959),50
Mistério e Suspense,46.0,98%,Invasion of the Body Snatchers (1956),58
Mistério e Suspense,47.0,95%,High Noon (1952),60
Mistério e Suspense,48.0,95%,Freaks (1932),55
Mistério e Suspense,49.0,100%,His House (2020),119
Mistério e Suspense,50.0,95%,The Night of the Hunter (1955),77
Mistério e Suspense,51.0,100%,The Taking of Pelham One Two Three (1974),43
Mistério e Suspense,52.0,95%,In the Heat of the Night (1967),83
Mistério e Suspense,53.0,98%,In a Lonely Place (1950),47
Mistério e Suspense,54.0,96%,Halloween (1978),78
Mistério e Suspense,55.0,96%,The Silence of the Lambs (1991),105
Mistério e Suspense,56.0,96%,The Salesman (Forushande) (2017),196
Mistério e Suspense,57.0,96%,Rosemary's Baby (1968),74
Mistério e Suspense,58.0,98%,Sunrise: A Song of Two Humans (1927),62
Mistério e Suspense,59.0,97%,The Conversation (1974),62
Mistério e Suspense,60.0,98%,Detour (1945),41
Mistério e Suspense,62.0,95%,Eye In The Sky (2016),221
Mistério e Suspense,64.0,98%,Eyes Without a Face (1962),55
Mistério e Suspense,68.0,97%,Badlands (1974),59
Mistério e Suspense,69.0,95%,Repulsion (1965),65
Mistério e Suspense,70.0,95%,Le Cercle Rouge (1970),65
Mistério e Suspense,71.0,98%,101 Dalmatians (1961),52
Mistério e Suspense,73.0,100%,Stalker (1979),41
Mistério e Suspense,75.0,95%,Burning (Beoning) (2018),196
Mistério e Suspense,76.0,97%,The Manchurian Candidate (1962),60
Mistério e Suspense,78.0,98%,Kiss Me Deadly (1955),43
Mistério e Suspense,80.0,98%,Blow the Man Down (2020),123
Mistério e Suspense,82.0,97%,From Russia With Love (1964),61
Mistério e Suspense,83.0,95%,Don't Look Now (1973),76
Mistério e Suspense,86.0,98%,The Guilty (Den skyldige) (2018),120
Mistério e Suspense,89.0,96%,Peeping Tom (1960),53
Mistério e Suspense,92.0,96%,The Fugitive (1993),80
Mistério e Suspense,93.0,96%,Notorious (1946),48
Mistério e Suspense,95.0,98%,Bullitt (1968),43
Mistério e Suspense,96.0,97%,Border (Gräns) (2018),130
Mistério e Suspense,97.0,96%,Diabolique (Les Diaboliques) (1955),50
Mistério e Suspense,98.0,97%,Who Framed Roger Rabbit (1988),67
Mistério e Suspense,99.0,96%,Wake in Fright (1971),57
Romance,1.0,99%,It Happened One Night (1934),98
Romance,2.0,99%,Casablanca (1942),124
Romance,3.0,100%,The Philadelphia Story (1940),102
Romance,4.0,97%,A Night at the Opera (1935),70
Romance,6.0,100%,Singin' in the Rain (1952),67
Romance,7.0,98%,The Big Sick (2017),305
Romance,8.0,99%,On the Waterfront (1954),107
Romance,9.0,96%,An American in Paris (1951),94
Romance,10.0,98%,The Best Years of Our Lives (1946),91
Romance,11.0,100%,The Adventures of Robin Hood (1938),48
Romance,13.0,100%,Top Hat (1935),42
Romance,14.0,99%,Marty (1955),70
Romance,15.0,100%,The Lady Eve (1941),48
Romance,18.0,97%,The Red Shoes (1948),62
Romance,19.0,98%,Before Midnight (2013),206
Romance,20.0,97%,The Lost Weekend (1945),62
Romance,21.0,95%,The Artist (2011),322
Romance,22.0,99%,The Umbrellas of Cherbourg (Les Parapluies de Cherbourg) (1964),67
Romance,25.0,99%,Ash Is Purest White (2019),154
Romance,26.0,97%,Roman Holiday (1953),60
Romance,27.0,96%,Beauty and The Beast (La Belle et la bête) (1946),67
Romance,29.0,98%,The Princess Bride (1987),80
Romance,30.0,96%,Annie Hall (1977),84
Romance,31.0,98%,In a Lonely Place (1950),47
Romance,32.0,100%,Only Yesterday (1991),58
Romance,33.0,98%,Gentlemen Prefer Blondes (1953),45
Romance,34.0,97%,Sideways (2004),233
Romance,35.0,97%,Groundhog Day (1993),86
Romance,36.0,98%,Sunrise: A Song of Two Humans (1927),62
Romance,37.0,95%,Mrs. Miniver (1942),60
Romance,38.0,96%,City Lights (1931),55
Romance,39.0,96%,Miracle on 34th Street (1947),48
Romance,41.0,100%,Three Colors: Red (Trois couleurs: Rouge) (1994),54
Romance,43.0,98%,Children of Paradise (Les Enfants du Paradis) (1946),40
Romance,44.0,98%,God's Own Country (2017),130
Romance,45.0,99%,Saint Frances (2020),102
Romance,46.0,96%,The African Queen (1951),46
Romance,47.0,100%,Henry V (1989),40
Romance,48.0,98%,Hiroshima Mon Amour (1960),40
Romance,51.0,100%,Before Sunrise (1995),46
Romance,53.0,98%,Your Name. (Kimi No Na Wa.) (2017),116
Romance,54.0,95%,Enough Said (2013),191
Romance,55.0,96%,Atlantics (2019),157
Romance,56.0,98%,The Young Girls of Rochefort (Les Demoiselles de Rochefort) (1968),44
Romance,57.0,97%,"Crouching Tiger, Hidden Dragon (2001)",159
Romance,58.0,97%,Bull Durham (1988),71
Romance,59.0,98%,Wings of Desire (1987),56
Romance,61.0,97%,Border (Gräns) (2018),130
Romance,62.0,95%,Lost In Translation (2003),232
Romance,64.0,96%,Masculin Feminin (1966),45
Romance,65.0,97%,The Lunchbox (2014),118
Romance,66.0,98%,Say Anything... (1989),47
Romance,68.0,98%,Three Colors: Blue (Trois Couleurs: Bleu) (1993),46
Romance,69.0,96%,A Girl Walks Home Alone at Night (2014),135
Romance,70.0,97%,The Half of It (2020),102
Romance,71.0,97%,Sense and Sensibility (1995),64
Romance,72.0,98%,My Beautiful Laundrette (1985),42
Romance,73.0,96%,The Hustler (1961),47
Romance,74.0,96%,Four Weddings and a Funeral (1994),70
Romance,78.0,95%,Foreign Correspondent (1940),42
Romance,85.0,95%,Dave (1993),60
Romance,88.0,98%,A Summer's Tale (2014),47
Romance,91.0,96%,Big Night (1996),57
Romance,98.0,95%,Monsoon Wedding (2002),126
Romance,99.0,96%,To All the Boys I've Loved Before (2018),70
Romance,100.0,96%,Revanche (2009),83
Ficção Científica e Fantasia,1.0,98%,The Wizard of Oz (1939),160
Ficção Científica e Fantasia,2.0,96%,Black Panther (2018),525
Ficção Científica e Fantasia,4.0,97%,Toy Story 4 (2019),453
Ficção Científica e Fantasia,5.0,97%,Mad Max: Fury Road (2015),434
Ficção Científica e Fantasia,6.0,97%,Spider-Man: Into the Spider-Verse (2018),393
Ficção Científica e Fantasia,12.0,99%,E.T. The Extra-Terrestrial (1982),136
Ficção Científica e Fantasia,14.0,98%,Snow White and the Seven Dwarfs (1937),54
Ficção Científica e Fantasia,16.0,97%,Metropolis (1927),135
Ficção Científica e Fantasia,17.0,96%,Gravity (2013),357
Ficção Científica e Fantasia,19.0,97%,"Nosferatu, a Symphony of Terror (Nosferatu, eine Symphonie des Grauens) (Nosferatu the Vampire) (1922)",69
Ficção Científica e Fantasia,21.0,98%,Alien (1979),127
Ficção Científica e Fantasia,26.0,98%,The Bride of Frankenstein (1935),47
Ficção Científica e Fantasia,27.0,98%,Dr. Strangelove Or How I Learned to Stop Worrying and Love the Bomb (1964),93
Ficção Científica e Fantasia,30.0,100%,Pinocchio (1940),56
Ficção Científica e Fantasia,31.0,100%,Frankenstein (1931),52
Ficção Científica e Fantasia,32.0,96%,Harry Potter and the Deathly Hallows - Part 2 (2011),332
Ficção Científica e Fantasia,41.0,97%,Kubo and the Two Strings (2016),226
Ficção Científica e Fantasia,43.0,99%,How to Train Your Dragon (2010),212
Ficção Científica e Fantasia,44.0,98%,Invasion of the Body Snatchers (1956),58
Ficção Científica e Fantasia,47.0,95%,WALL-E (2008),260
Ficção Científica e Fantasia,49.0,96%,Beauty and The Beast (La Belle et la bête) (1946),67
Ficção Científica e Fantasia,50.0,100%,The Terminator (1984),65
Ficção Científica e Fantasia,51.0,98%,Dumbo (1941),43
Ficção Científica e Fantasia,55.0,98%,The Discreet Charm Of The Bourgeoisie (Le Charme Discret de la Bourgeoisie) (1972),53
Ficção Científica e Fantasia,57.0,94%,Raya and the Last Dragon (2021),283
Ficção Científica e Fantasia,58.0,98%,The Princess Bride (1987),80
Ficção Científica e Fantasia,59.0,97%,Aliens (1986),78
Ficção Científica e Fantasia,60.0,98%,8 1/2 (1963),54
Ficção Científica e Fantasia,62.0,97%,Groundhog Day (1993),86
Ficção Científica e Fantasia,64.0,95%,The Day the Earth Stood Still (1951),57
Ficção Científica e Fantasia,65.0,96%,Miracle on 34th Street (1947),48
Ficção Científica e Fantasia,66.0,95%,Pan's Labyrinth (2006),239
Ficção Científica e Fantasia,70.0,100%,Stalker (1979),41
Ficção Científica e Fantasia,72.0,95%,The Nightmare Before Christmas (1993),100
Ficção Científica e Fantasia,76.0,94%,The Invisible Man (1933),51
Ficção Científica e Fantasia,78.0,96%,"Monsters, Inc. (2001)",199
Ficção Científica e Fantasia,80.0,97%,Big (1988),76
Ficção Científica e Fantasia,82.0,95%,The Lord of the Rings: The Two Towers (2002),255
Ficção Científica e Fantasia,83.0,97%,Ghostbusters (1984 Original) (1984),73
Ficção Científica e Fantasia,84.0,97%,Spirited Away (2002),195
Ficção Científica e Fantasia,88.0,98%,Jodorowsky's Dune (2014),121
Ficção Científica e Fantasia,89.0,99%,Song Of The Sea (2014),97
Ficção Científica e Fantasia,90.0,96%,The Iron Giant (1999),142
Ficção Científica e Fantasia,91.0,96%,Back to the Future (1985),83
Ficção Científica e Fantasia,92.0,98%,Wings of Desire (1987),56
Ficção Científica e Fantasia,93.0,95%,Fantasia (1940),56
Ficção Científica e Fantasia,95.0,97%,Border (Gräns) (2018),130
Ficção Científica e Fantasia,96.0,96%,Forbidden Planet (1956),47
Ficção Científica e Fantasia,100.0,98%,Brazil (1985),49
Interesse especial,1.0,98%,The Bride of Frankenstein (1935),47
Interesse especial,2.0,100%,Frankenstein (1931),52
Interesse especial,3.0,98%,Life Itself (2014),203
Interesse especial,4.0,100%,Man on Wire (2008),159
Interesse especial,6.0,98%,The Discreet Charm Of The Bourgeoisie (Le Charme Discret de la Bourgeoisie) (1972),53
Interesse especial,7.0,97%,Groundhog Day (1993),86
Interesse especial,8.0,95%,Amy (2015),225
Interesse especial,9.0,96%,Miracle on 34th Street (1947),48
Interesse especial,10.0,98%,Blackfish (2013),131
Interesse especial,11.0,100%,Taxi to the Dark Side (2007),93
Interesse especial,12.0,100%,The Decline of Ocidental Civilization (1981),40
Interesse especial,13.0,98%,Murderball (2005),141
Interesse especial,14.0,98%,Jodorowsky's Dune (2014),121
Interesse especial,15.0,98%,Inside Job (2010),148
Interesse especial,16.0,100%,The Square (Al Midan) (2013),69
Interesse especial,17.0,99%,Jiro Dreams of Sushi (2012),95
Interesse especial,18.0,98%,Paris Is Burning (1991),57
Interesse especial,19.0,96%,Waltz with Bashir (2008),153
Interesse especial,20.0,98%,Hoop Dreams (1994),60
Interesse especial,21.0,99%,The Interrupters (2011),93
Interesse especial,22.0,100%,Afghan Star (2009),62
Interesse especial,23.0,97%,Capturing the Friedmans (2003),154
Interesse especial,24.0,100%,"Mr. Death: The Rise and Fall of Fred A. Leuchter, Jr. (1999)",42
Interesse especial,25.0,99%,The Invisible War (2012),72
Interesse especial,26.0,99%,56 Up (2013),69
Interesse especial,27.0,99%,Elaine Stritch: Shoot Me (2014),67
Interesse especial,28.0,95%,The Act Of Killing (2013),160
Interesse especial,29.0,100%,Last Train Home (2010),55
Interesse especial,30.0,97%,Spellbound (2002),139
Interesse especial,31.0,97%,Enron: The Smartest Guys in the Room (2005),119
Interesse especial,32.0,100%,Sholem Aleichem: Laughing in the Darkness (2011),43
Interesse especial,33.0,98%,Ai Weiwei: Never Sorry (2012),83
Interesse especial,34.0,98%,How to Survive a Plague (2012),80
Interesse especial,35.0,97%,This Is Not a Film (2012),102
Interesse especial,36.0,96%,Cave of Forgotten Dreams (2011),137
Interesse especial,37.0,97%,The King of Kong: A Fistful of Quarters (2007),102
Interesse especial,38.0,96%,The Fog of War: Eleven Lessons from the Life of Robert S. McNamara (2003),142
Interesse especial,39.0,95%,Bowling for Columbine (2002),173
Interesse especial,40.0,97%,Muscle Shoals (2013),87
Interesse especial,42.0,98%,The War Tapes (2006),65
Interesse especial,44.0,96%,Undefeated (2012),102
Interesse especial,45.0,98%,A Film Unfinished (2010),65
Interesse especial,47.0,97%,The Overnighters (2014),73
Interesse especial,49.0,98%,Call Me Kuchu (2013),51
Interesse especial,50.0,98%,Mea Maxima Culpa: Silence In The House Of God (2012),50
Interesse especial,51.0,96%,Restrepo (2010),118
Interesse especial,52.0,95%,The Queen of Versailles (2012),120
Interesse especial,53.0,98%,Let The Fire Burn (2013),46
Interesse especial,54.0,96%,Exit Through The Gift Shop (2010),115
Interesse especial,55.0,98%,For the Bible Tells Me So (2007),51
Interesse especial,56.0,98%,Blindsight (2006),50
Interesse especial,57.0,95%,The Imposter (2012),117
Interesse especial,58.0,95%,Marley (2012),114
Interesse especial,59.0,98%,Surfwise (2007),46
Interesse especial,60.0,96%,No End in Sight (2007),98
Interesse especial,61.0,97%,The Life and Times of Hank Greenberg (2000),65
Interesse especial,62.0,97%,Burma VJ: Reporter i et Lukket Land (Burma VJ: Reporting from a Closed Country) (2008),62
Interesse especial,64.0,97%,49 Up (2006),65
Interesse especial,65.0,95%,Finding Vivian Maier (2014),102
Interesse especial,67.0,95%,Winged Migration (2003),132
Interesse especial,69.0,97%,Sweetgrass (2009),64
Interesse especial,70.0,96%,"Bigger, Stronger, Faster* (2008)",76
Interesse especial,71.0,96%,Trouble the Water (2008),76
Interesse especial,72.0,95%,"Food, Inc. (2009)",114
Interesse especial,74.0,96%,Chasing Ice (2012),72
Interesse especial,75.0,97%,To Be and to Have (Etre et Avoir) (2003),59
Interesse especial,76.0,95%,The Salt of the Earth (2015),94
Interesse especial,77.0,95%,The Wild Parrots of Telegraph Hill (2005),101
Interesse especial,79.0,95%,"20,000 Days on Earth (2014)",88
Interesse especial,81.0,95%,Control Room (2004),111
Interesse especial,82.0,96%,Bus 174 (Ônibus 174) (2003),79
Interesse especial,84.0,95%,Born Into Brothels (2004),108
Interesse especial,85.0,95%,My Winnipeg (2007),92
Interesse especial,86.0,96%,Manakamana (2014),54
Interesse especial,87.0,96%,I Am Divine (2013),54
Interesse especial,88.0,95%,Cutie And The Boxer (2013),75
Interesse especial,89.0,96%,Brooklyn Castle (2012),53
Interesse especial,90.0,96%,Deep Water (2006),55
Interesse especial,91.0,95%,Crumb (1995),42
Interesse especial,92.0,96%,The Last of the Unjust (2014),48
Interesse especial,93.0,95%,Good Hair (2009),84
Interesse especial,94.0,96%,The Devil Came on Horseback (2007),54
Interesse especial,95.0,96%,Up the Yangtze (2007),53
Interesse especial,96.0,96%,5 Broken Cameras (2012),48
Interesse especial,97.0,95%,National Gallery (2014),66
Interesse especial,98.0,96%,Plagues & Pleasures on the Salton Sea (2004),53
Interesse especial,99.0,95%,Last Days in Vietnam (2014),62
Esportes & Fitness,1.0,98%,Murderball (2005),141
Esportes & Fitness,2.0,100%,Athlete A (2020),57
Esportes & Fitness,3.0,98%,Hoop Dreams (1994),60
Esportes & Fitness,4.0,98%,When We Were Kings (1996),49
Esportes & Fitness,5.0,97%,The King of Kong: A Fistful of Quarters (2007),102
Esportes & Fitness,6.0,96%,Undefeated (2012),102
Esportes & Fitness,8.0,98%,Surfwise (2007),46
Esportes & Fitness,9.0,97%,The Life and Times of Hank Greenberg (2000),65
Esportes & Fitness,13.0,96%,The Crash Reel (2013),46
Esportes & Fitness,18.0,95%,Boxing Gym (2010),42
Televisão,1.0,98%,Life Itself (2014),203
Televisão,2.0,100%,Afghan Star (2009),62
Televisão,3.0,98%,A Film Unfinished (2010),65
Televisão,5.0,97%,49 Up (2006),65
Televisão,6.0,96%,The Return (2004),89
Televisão,8.0,95%,"Not Quite Hollywood: The Wild, Untold Story of Ozploitation! (2008)",66
Televisão,9.0,95%,Being Elmo: A Puppeteer's Journey (2011),78
Televisão,10.0,96%,Los Angeles Plays Itself (2003),45
Televisão,13.0,95%,Sing Your Song (2012),40
Ocidental,1.0,100%,The Treasure of the Sierra Madre (1948),52
Ocidental,2.0,97%,"The Good, the Bad and the Ugly (1966)",77
Ocidental,3.0,100%,Stagecoach (1939),45
Ocidental,4.0,95%,High Noon (1952),60
Ocidental,5.0,96%,Unforgiven (1992),106
Ocidental,6.0,95%,True Grit (2010),275
Ocidental,7.0,98%,A Fistful of Dollars (Per un Pugno di Dollari) (1964),51
Ocidental,8.0,98%,Rio Bravo (1959),43
Ocidental,9.0,96%,The Searchers (1956),50
Ocidental,10.0,95%,Once Upon a Time in the West (1968),65
Ocidental,11.0,98%,Deadwood: The Movie (2019),88
Ocidental,15.0,97%,Sweetgrass (2009),64
